产品代码,产品名称,净值,累计净值,风险等级,业绩基准,状态
"FBAG65137A","民生理财贵竹添利优选封闭37号理财产品A",1.013,1.013,2,"2.50%-2.80%","已结束"
"FBAE41097E","民生理财贵竹固收增利天天盈97号理财产品E",1.01777,1.01777,2,"1.00%-2.00%","在售"
"FBAE41166B","民生理财贵竹固收增利周周盈7天持有期66号理财产品（私银）",1.0107,1.0107,2,"1.20%-2.20%","在售"
"FBAE41166E","民生理财贵竹固收增利周周盈7天持有期66号理财产品E",1.0107,1.0107,2,"1.20%-2.20%","在售"
"FBAE47404F","民生理财贵竹固收增利全球精选半年持有期3号理财产品F",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE47404P","民生理财贵竹固收增利全球精选半年持有期3号理财产品P",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE96001A","民生理财贵竹固收增利指数轮动日开1号理财产品",1.0034,1.0034,2,"1.80%-2.60%","在售"
"FBAE47404E","民生理财贵竹固收增利全球精选半年持有期3号理财产品E",1.0117,1.0117,2,"2.40%-3.20%","在售"
"FBAE41345A","民生理财贵竹固收增利月月盈30天持有期45号理财产品A",1.01019,1.01019,2,"1.50%-2.20%","在售"
"FBAE41902F","民生理财贵竹固收增利天天盈102号理财产品F",1.003604,1.003604,2,"1.00%-2.00%","在售"
"FBAE41167M","民生理财贵竹固收增利周周盈7天持有期67号理财产品M",1.004082,1.004082,2,"1.20%-2.20%","在售"
"FBAF19188F","民生理财天天增利现金管理188号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19188M","民生理财天天增利现金管理188号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19188N","民生理财天天增利现金管理188号理财产品N",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG98169A","民生理财富竹固收封闭169号理财产品A",1.0017,1.0017,2,"1.90%-2.10%","已结束"
"FBAG33202E","民生理财秀竹固定收益类封闭2号大连银行专属理财产品E",1.0023,1.0023,2,"2.55%","已结束"
"FBAE60547G","民生理财富竹纯债91天持有期47号理财产品G",1.0036,1.0036,2,"1.60%-2.30%","在售"
"FBAE60547E","民生理财富竹纯债91天持有期47号理财产品E",1.0035,1.0035,2,"1.60%-2.30%","在售"
"FBAE60547F","民生理财富竹纯债91天持有期47号理财产品F",1.0034,1.0034,2,"1.60%-2.30%","在售"
"FBAE60547P","民生理财富竹纯债91天持有期47号理财产品P",1.0037,1.0037,2,"1.60%-2.30%","在售"
"FBAE60336G","民生理财富竹纯债28天持有期36号理财产品G",1.0027,1.0027,2,"1.50%-2.20%","在售"
"FBAE60336E","民生理财富竹纯债28天持有期36号理财产品E",1.0026,1.0026,2,"1.50%-2.20%","在售"
"FBAE60336F","民生理财富竹纯债28天持有期36号理财产品F",1.0025,1.0025,2,"1.50%-2.20%","在售"
"FBAE60336P","民生理财富竹纯债28天持有期36号理财产品P",1.0027,1.0027,2,"1.50%-2.20%","在售"
"FBAE60336M","民生理财富竹纯债28天持有期36号理财产品M",1.0026,1.0026,2,"1.50%-2.20%","在售"
"FBAE43901E","民生理财茂竹固收黄金增强半年持有期理财产品E",1.0,1.0,2,"2.60%-3.40%","在售"
"FBAE41540H","民生理财贵竹固收增利季季盈90天持有期40号理财产品H",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAE41540E","民生理财贵竹固收增利季季盈90天持有期40号理财产品E",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAE41540M","民生理财贵竹固收增利季季盈90天持有期40号理财产品M",1.001969,1.001969,2,"1.60%-2.30%","在售"
"FBAF19207E","民生理财天天增利现金管理207号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG97198R","民生理财贵竹固收增利盈系列封闭198号理财产品R",1.0024,1.0024,2,"1.95%-2.25%","已结束"
"FBAF19186A","民生理财天天增利现金管理186号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19186F","民生理财天天增利现金管理186号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41217H","民生理财贵竹固收增利双周盈14天持有期17号理财产品H",1.018828,1.018828,2,"1.20%-2.20%","在售"
"FBAE41234H","民生理财贵竹固收增利双周盈14天持有期34号理财产品H",1.002836,1.002836,2,"1.20%-2.20%","在售"
"FBAG66023G","民生理财富竹固收稳健精选封闭23号理财产品G",1.0032,1.0032,2,"2.00%-2.40%","已结束"
"FBAE41234E","民生理财贵竹固收增利双周盈14天持有期34号理财产品（新客专属）",1.003041,1.003041,2,"1.20%-2.20%","在售"
"FBAG65230D","民生理财贵竹添利优选封闭三十周年行庆理财产品D",1.0021,1.0021,2,"2.55%-2.85%","已结束"
"FBAG65230B","民生理财贵竹添利优选封闭三十周年行庆理财产品B",1.002,1.002,2,"2.53%-2.83%","已结束"
"FBAG65230G","民生理财贵竹添利优选封闭三十周年行庆理财产品G",1.0022,1.0022,2,"2.70%-3.00%","已结束"
"FBAG65230Q","民生理财贵竹添利优选封闭三十周年行庆理财产品Q",1.0021,1.0021,2,"2.60%-2.90%","已结束"
"FBAG65230S","民生理财贵竹添利优选封闭三十周年行庆理财产品S",1.0021,1.0021,2,"2.55%-2.85%","已结束"
"FBAE34110K","民生理财富竹固收7天持有期10号理财产品K",1.0187,1.0187,2,"1.20%-2.20%","在售"
"FBAE41235G","民生理财贵竹固收增利双周盈14天持有期35号理财产品G",1.002095,1.002095,2,"1.20%-2.20%","在售"
"FBAE41235K","民生理财贵竹固收增利双周盈14天持有期35号理财产品K",1.002163,1.002163,2,"1.20%-2.20%","在售"
"FBAE41235Q","民生理财贵竹固收增利双周盈14天持有期35号理财产品Q",1.002162,1.002162,2,"1.20%-2.20%","在售"
"FBAE41235A","民生理财贵竹固收增利双周盈14天持有期35号理财产品A",1.002042,1.002042,2,"1.20%-2.20%","在售"
"FBAE41235B","民生理财贵竹固收增利双周盈14天持有期35号理财产品B",1.00208,1.00208,2,"1.20%-2.20%","在售"
"FBAE41235S","民生理财贵竹固收增利双周盈14天持有期35号理财产品S",1.002102,1.002102,2,"1.20%-2.20%","在售"
"FBAE37405Q","民生理财贵竹固收添益半年持有期5号理财产品Q",1.0029,1.0029,2,"2.00%-2.80%","在售"
"FBAE37405E","民生理财贵竹固收添益半年持有期5号理财产品E",1.0029,1.0029,2,"2.00%-2.80%","在售"
"FBAE37405K","民生理财贵竹固收添益半年持有期5号理财产品K",1.0029,1.0029,2,"2.00%-2.80%","在售"
"FBAG97198F","民生理财贵竹固收增利盈系列封闭198号理财产品F",1.0024,1.0024,2,"2.00%-2.30%","已结束"
"FBAG97198H","民生理财贵竹固收增利盈系列封闭198号理财产品H",1.0025,1.0025,2,"2.05%-2.35%","已结束"
"FBAG97198M","民生理财贵竹固收增利盈系列封闭198号理财产品M",1.0023,1.0023,2,"1.90%-2.20%","已结束"
"FBAG97198E","民生理财贵竹固收增利盈系列封闭198号理财产品E",1.0024,1.0024,2,"2.00%-2.30%","已结束"
"FBAG97194E","民生理财贵竹固收增利盈系列封闭194号理财产品E",1.0024,1.0024,2,"2.00%-2.40%","已结束"
"FBAG98201E","民生理财富竹固收封闭201号理财产品E",1.0018,1.0018,2,"1.90%-2.30%","已结束"
"FBAE42504F","民生理财贵竹固收稳利3个月持有期4号理财产品F",1.0027,1.0027,2,"1.80%-2.60%","在售"
"FBAE42504E","民生理财贵竹固收稳利3个月持有期4号理财产品E",1.0027,1.0027,2,"1.80%-2.60%","在售"
"FBAG98127E","民生理财富竹固收封闭127号理财产品E",1.001,1.001,2,"2.10%-2.40%","已结束"
"FBAE41033D","民生理财贵竹固收增利天天盈33号理财产品D",1.037602,1.037602,2,"1.00%-2.00%","在售"
"FBAE41033K","民生理财贵竹固收增利天天盈33号理财产品K",1.037657,1.037657,2,"1.00%-2.00%","在售"
"FBAE41033Q","民生理财贵竹固收增利天天盈33号理财产品Q",1.037637,1.037637,2,"1.00%-2.00%","在售"
"FBAG39358E","民生理财富竹安盈封闭58号理财产品E",1.0015,1.0015,1,"1.80%-2.10%","已结束"
"FBAE41911F","民生理财贵竹固收增利天天盈111号理财产品F",1.002716,1.002716,2,"1.00%-2.00%","在售"
"FBAE41911M","民生理财贵竹固收增利天天盈111号理财产品M",1.002716,1.002716,2,"1.00%-2.00%","在售"
"FBAE41911E","民生理财贵竹固收增利天天盈111号理财产品E",1.002716,1.002716,2,"1.00%-2.00%","在售"
"FBAE41903E","民生理财贵竹固收增利天天盈103号理财产品E",1.003788,1.003788,2,"1.00%-2.00%","在售"
"FBAE41903F","民生理财贵竹固收增利天天盈103号理财产品F",1.003788,1.003788,2,"1.00%-2.00%","在售"
"FBAE41903M","民生理财贵竹固收增利天天盈103号理财产品M",1.003788,1.003788,2,"1.00%-2.00%","在售"
"FBAF19240E","民生理财天天增利现金管理240号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE37310A","民生理财贵竹固收添益3个月持有期10号理财产品",1.0023,1.0023,2,"1.80%-2.60%","在售"
"FBAE37310S","民生理财贵竹固收添益3个月持有期10号理财产品S",1.0024,1.0024,2,"1.80%-2.60%","在售"
"FBAE37310Q","民生理财贵竹固收添益3个月持有期10号理财产品Q",1.0024,1.0024,2,"1.80%-2.60%","在售"
"FBAG19281A","民生理财富竹固收稳健封闭81号理财产品A",1.0018,1.0018,2,"1.90%-2.30%","已结束"
"FBAG19281B","民生理财富竹固收稳健封闭81号理财产品B",1.0018,1.0018,2,"1.93%-2.33%","已结束"
"FBAG19281Q","民生理财富竹固收稳健封闭81号理财产品Q",1.0018,1.0018,2,"2.00%-2.40%","已结束"
"FBAG19281S","民生理财富竹固收稳健封闭81号理财产品S",1.0018,1.0018,2,"1.95%-2.35%","已结束"
"FBAG19281G","民生理财富竹固收稳健封闭81号理财产品G",1.0018,1.0018,2,"1.92%-2.32%","已结束"
"FBAG66014A","民生理财富竹固收稳健精选封闭14号理财产品A",1.0021,1.0021,2,"2.50%-2.90%","已结束"
"FBAG66014D","民生理财富竹固收稳健精选封闭14号理财产品D",1.0022,1.0022,2,"2.52%-2.92%","已结束"
"FBAG66014S","民生理财富竹固收稳健精选封闭14号理财产品S",1.0022,1.0022,2,"2.52%-2.92%","已结束"
"FBAG66014Q","民生理财富竹固收稳健精选封闭14号理财产品Q",1.0022,1.0022,2,"2.54%-2.94%","已结束"
"FBAG97195E","民生理财贵竹固收增利盈系列封闭195号理财产品E",1.0009,1.0009,2,"2.00%-2.40%","已结束"
"FBAG98196F","民生理财富竹固收封闭196号理财产品F",1.0019,1.0019,2,"2.10%-2.40%","已结束"
"FBAG98128E","民生理财富竹固收封闭128号理财产品E",1.0008,1.0008,2,"2.20%-2.50%","已结束"
"FBAG98196E","民生理财富竹固收封闭196号理财产品E",1.0019,1.0019,2,"2.10%-2.40%","已结束"
"FBAG98197E","民生理财富竹固收封闭197号理财产品E",1.002,1.002,2,"2.10%-2.40%","已结束"
"FBAG98199E","民生理财富竹固收封闭199号理财产品E",1.0013,1.0013,2,"2.10%-2.40%","已结束"
"FBAG98199F","民生理财富竹固收封闭199号理财产品F",1.0013,1.0013,2,"2.10%-2.40%","已结束"
"FBAG98129E","民生理财富竹固收封闭129号理财产品E",1.0015,1.0015,2,"2.15%-2.45%","已结束"
"FBAG98133E","民生理财富竹固收封闭133号理财产品E",1.0011,1.0011,2,"2.40%-2.70%","已结束"
"FBAG98172E","民生理财富竹固收封闭172号理财产品E",1.0032,1.0032,2,"2.10%-2.70%","已结束"
"FBAG98198E","民生理财富竹固收封闭198号理财产品E",1.0017,1.0017,2,"2.05%-2.35%","已结束"
"FBAE42003E","民生理财贵竹固收稳利日开3号理财产品E",1.028,1.028,2,"1.80%-2.60%","在售"
"FBAE47516F","民生理财贵竹固收增利半年持有期16号理财产品F",1.0,1.0,2,"2.30%-3.00%","在售"
"FBAG41508G","民生理财贵竹固收增利多策略封闭8号理财产品G",1.0011,1.0011,2,"2.65%-3.25%","已结束"
"FBAG41508J","民生理财贵竹固收增利多策略封闭8号理财产品J",1.0011,1.0011,2,"2.70%-3.30%","已结束"
"FBAG41508D","民生理财贵竹固收增利多策略封闭8号理财产品D",1.0011,1.0011,2,"2.65%-3.25%","已结束"
"FBAG41508Q","民生理财贵竹固收增利多策略封闭8号理财产品Q",1.0011,1.0011,2,"2.70%-3.30%","已结束"
"FBAG41508S","民生理财贵竹固收增利多策略封闭8号理财产品S",1.0011,1.0011,2,"2.65%-3.25%","已结束"
"FBAG41508B","民生理财贵竹固收增利多策略封闭8号理财产品B",1.0011,1.0011,2,"2.63%-3.23%","已结束"
"FBAG41508A","民生理财贵竹固收增利多策略封闭8号理财产品",1.001,1.001,2,"2.60%-3.20%","已结束"
"FBAG41508F","民生理财贵竹固收增利多策略封闭8号理财产品F",1.0009,1.0009,2,"2.45%-3.05%","已结束"
"FBAG41508E","民生理财贵竹固收增利多策略封闭8号理财产品E",1.0011,1.0011,2,"2.65%-3.25%","已结束"
"FBAE46161F","民生理财贵竹固收增强超利3个月持有期1号理财产品F",1.0031,1.0031,3,"1.50%-4.50%","在售"
"FBAE60328A","民生理财富竹纯债28天持有期28号理财产品A",1.0139,1.0139,2,"1.50%-2.20%","在售"
"FBAE46161E","民生理财贵竹固收增强超利3个月持有期1号理财产品E",1.0031,1.0031,3,"1.50%-4.50%","在售"
"FBAE41167E","民生理财贵竹固收增利周周盈7天持有期67号理财产品E",1.004082,1.004082,2,"1.20%-2.20%","在售"
"FSAF19015B","民生理财天天增利现金管理11号理财产品B",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE68023D","民生理财贵竹固收增利周周盈7天持有期4号理财产品D",1.058775,1.058775,2,"1.20%-2.20%","在售"
"FBAE68622A","民生理财贵竹固收增利半年持有期5号理财产品",1.0627,1.0627,2,"2.00%-2.80%","在售"
"FBAG19464A","民生理财富竹固收安心三年封闭4号理财产品",1.0463,1.0763,2,"3.60%-3.80%","已结束"
"FBAF19051E","民生理财天天增利现金管理47号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19051F","民生理财天天增利现金管理47号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19089E","民生理财天天增利现金管理89号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FSAF19016B","民生理财天天增利现金管理12号理财产品B",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19048F","民生理财天天增利现金管理44号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE60202E","民生理财富竹纯债14天持有期2号理财产品E",1.0519,1.0519,2,"1.50%-2.20%","在售"
"FBAF19058A","民生理财天天增利现金管理54号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19089F","民生理财天天增利现金管理89号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41307A","民生理财贵竹固收增利月月盈30天持有期7号理财产品",1.044251,1.044251,2,"1.50%-2.20%","在售"
"FBAE61108A","民生理财富竹纯债182天持有期5号理财产品",1.055,1.055,2,"1.80%-2.50%","在售"
"FBAE41020A","民生理财贵竹固收增利天天盈20号理财产品A",1.045893,1.045893,2,"1.00%-2.00%","在售"
"FBAF19046E","民生理财天天增利现金管理42号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19086F","民生理财天天增利现金管理86号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE60104A","民生理财富竹纯债7天持有期4号理财产品",1.0436,1.0436,2,"1.50%-2.20%","在售"
"FBAE61009A","民生理财富竹纯债91天持有期6号理财产品",1.0604,1.0604,2,"1.60%-2.30%","在售"
"FBAG19465A","民生理财富竹固收安心三年封闭5号理财产品",1.0273,1.0573,2,"3.50%-3.70%","已结束"
"FBAF19052A","民生理财天天增利现金管理48号理财产品",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19052B","民生理财天天增利现金管理48号理财产品（私银）",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41105A","民生理财贵竹固收增利周周盈7天持有期5号理财产品",1.04317,1.04317,2,"1.20%-2.20%","在售"
"FBAE43501A","民生理财茂竹双息策略3个月持有期1号理财产品",1.0533,1.0533,2,"1.60%-2.30%","在售"
"FBAE41107Q","民生理财贵竹固收增利周周盈7天持有期7号理财产品Q",1.055174,1.055174,2,"1.20%-2.20%","在售"
"FBAG62405A","民生理财富竹固收优选25个月封闭5号理财产品A",1.0358,1.0658,2,"3.30%-3.50%","已结束"
"FBAG62405D","民生理财富竹固收优选25个月封闭5号理财产品D",1.0368,1.0668,2,"3.35%-3.55%","已结束"
"FBAE60202H","民生理财富竹纯债14天持有期2号理财产品H",1.0491,1.0491,2,"1.50%-2.20%","在售"
"FBAF19057A","民生理财天天增利现金管理53号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE61010A","民生理财富竹纯债91天持有期7号理财产品",1.0465,1.0465,2,"1.60%-2.30%","在售"
"FBAE61017E","民生理财富竹纯债91天持有期14号理财产品E",1.0555,1.0555,2,"1.60%-2.30%","在售"
"FBAE41022E","民生理财贵竹固收增利天天盈22号理财产品E",1.047782,1.047782,2,"1.00%-2.00%","在售"
"FBAF19091E","民生理财天天增利现金管理91号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19091F","民生理财天天增利现金管理91号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19091M","民生理财天天增利现金管理91号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE60103E","民生理财富竹纯债7天持有期3号理财产品E",1.0481,1.0481,2,"1.50%-2.20%","在售"
"FBAE67201E","民生理财贵竹固收增利季季发90天持有期1号理财产品E",1.0916,1.0916,2,"1.60%-2.30%","在售"
"FBAE61107E","民生理财富竹纯债182天持有期4号理财产品E",1.0493,1.0493,2,"1.80%-2.50%","在售"
"FBAE61008F","民生理财富竹纯债91天持有期5号理财产品F",1.0598,1.0598,2,"1.60%-2.30%","在售"
"FBAE60105A","民生理财富竹纯债7天持有期5号理财产品",1.0445,1.0445,2,"1.50%-2.20%","在售"
"FBAF19096E","民生理财天天增利现金管理96号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19096P","民生理财天天增利现金管理96号理财产品P",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19096M","民生理财天天增利现金管理96号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19096N","民生理财天天增利现金管理96号理财产品N",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE61008E","民生理财富竹纯债91天持有期5号理财产品E",1.0569,1.0569,2,"1.60%-2.30%","在售"
"FBAE60202F","民生理财富竹纯债14天持有期2号理财产品F",1.0492,1.0492,2,"1.50%-2.20%","在售"
"FBAE61004G","民生理财富竹纯债91天持有期2号理财产品G",1.0623,1.0623,2,"1.60%-2.30%","在售"
"FBAE60201G","民生理财富竹纯债14天持有期1号理财产品G",1.0545,1.0545,2,"1.50%-2.20%","在售"
"FBAE60101G","民生理财富竹纯债7天持有期1号理财产品G",1.054,1.054,2,"1.50%-2.20%","在售"
"FBAE60108E","民生理财富竹纯债7天持有期8号理财产品E",1.0445,1.0445,2,"1.50%-2.20%","在售"
"FBAE41308A","民生理财贵竹固收增利月月盈30天持有期8号理财产品",1.042996,1.042996,2,"1.50%-2.20%","在售"
"FBAE43301A","民生理财茂竹双息策略1个月持有期1号理财产品",1.045,1.045,2,"1.50%-2.20%","在售"
"FBAE43301G","民生理财茂竹双息策略1个月持有期1号理财产品G",1.0469,1.0469,2,"1.50%-2.20%","在售"
"FBAE68019G","民生理财贵竹固收增利天天盈7号理财产品G",1.065574,1.065574,2,"1.00%-2.00%","在售"
"FBAE68022G","民生理财贵竹固收增利周周盈7天持有期3号理财产品G",1.069018,1.069018,2,"1.20%-2.20%","在售"
"FBAE41202G","民生理财贵竹固收增利双周盈14天持有期2号理财产品G",1.057577,1.057577,2,"1.20%-2.20%","在售"
"FBAF19055G","民生理财天天增利现金管理51号理财产品G",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE31001B","民生理财富竹固收天天盈1号理财产品（私银）",1.0408,1.0408,2,"1.30%-1.70%","在售"
"FBAE60002A","民生理财富竹纯债灵活申赎2号理财产品A",1.0598,1.0598,2,"1.50%-2.20%","在售"
"FBAE60002G","民生理财富竹纯债灵活申赎2号理财产品G",1.0626,1.0626,2,"1.50%-2.20%","在售"
"FBAF19061A","民生理财天天增利现金管理57号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19062A","民生理财天天增利现金管理58号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19063A","民生理财天天增利现金管理59号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19064A","民生理财天天增利现金管理60号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG19932A","民生理财富竹固收稳健三年封闭2号理财产品",1.0642,1.0842,2,"3.65%-4.05%","已结束"
"FBAF19097B","民生理财天天增利现金管理97号理财产品（私银）",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19067A","民生理财天天增利现金管理63号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19066A","民生理财天天增利现金管理62号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19065A","民生理财天天增利现金管理61号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19060A","民生理财天天增利现金管理56号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE61008M","民生理财富竹纯债91天持有期5号理财产品M",1.0606,1.0606,2,"1.60%-2.30%","在售"
"FBAE81202F","民生理财贵竹固收增利周周盈7天持有期6号理财产品F",1.045967,1.045967,2,"2.10%-3.00%","在售"
"FBAE42101A","民生理财贵竹固收稳利半年持有期1号理财产品",1.0694,1.0694,2,"2.00%-2.80%","在售"
"FBAE32501B","民生理财富竹固收90天持有期1号理财产品（私银）",1.0526,1.0526,2,"1.70%-2.40%","在售"
"FBAF19125E","民生理财天天增利现金管理125号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19126E","民生理财天天增利现金管理126号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19127E","民生理财天天增利现金管理127号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19128E","民生理财天天增利现金管理128号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG62184G","民生理财富竹固收优选封闭84号理财产品G",1.0122,1.0122,2,"2.30%","已结束"
"FBAG66001D","民生理财富竹固收稳健精选封闭1号理财产品D",1.0121,1.0121,2,"2.75%-3.15%","已结束"
"FBAG66001G","民生理财富竹固收稳健精选封闭1号理财产品G",1.0118,1.0118,2,"2.70%-3.10%","已结束"
"FBAG66001Q","民生理财富竹固收稳健精选封闭1号理财产品Q",1.0121,1.0121,2,"2.75%-3.15%","已结束"
"FBAG66001S","民生理财富竹固收稳健精选封闭1号理财产品S",1.0118,1.0118,2,"2.70%-3.10%","已结束"
"FBAG65136A","民生理财贵竹添利优选封闭36号理财产品A",1.0149,1.0149,2,"2.40%-2.70%","已结束"
"FBAG65136B","民生理财贵竹添利优选封闭36号理财产品B",1.0151,1.0151,2,"2.43%-2.73%","已结束"
"FBAG98059N","民生理财富竹固收封闭59号理财产品N",1.0108,1.0108,2,"2.45%-2.85%","已结束"
"FBAG98056B","民生理财富竹固收封闭56号理财产品（私银）",1.0118,1.0118,2,"2.10%-2.30%","已结束"
"FBAG98059M","民生理财富竹固收封闭59号理财产品M",1.01,1.01,2,"2.30%-2.70%","已结束"
"FBAE41017D","民生理财贵竹固收增利天天盈17号理财产品D",1.039642,1.039642,2,"1.00%-2.00%","在售"
"FBAE41213B","民生理财贵竹固收增利双周盈14天持有期13号理财产品B",1.033635,1.033635,2,"1.20%-2.20%","在售"
"FBAE41213Q","民生理财贵竹固收增利双周盈14天持有期13号理财产品Q",1.034052,1.034052,2,"1.20%-2.20%","在售"
"FBAE41161E","民生理财贵竹固收增利周周盈7天持有期61号理财产品E",1.015453,1.015453,2,"1.20%-2.20%","在售"
"FBAE60235A","民生理财富竹纯债14天持有期35号理财产品",1.0303,1.0303,2,"1.50%-2.20%","在售"
"FBAE41087E","民生理财贵竹固收增利天天盈87号理财产品E",1.023691,1.023691,2,"1.00%-2.00%","在售"
"FBAE41087F","民生理财贵竹固收增利天天盈87号理财产品F",1.023691,1.023691,2,"1.00%-2.00%","在售"
"FBAE60136A","民生理财富竹纯债7天持有期36号理财产品",1.0297,1.0297,2,"1.50%-2.20%","在售"
"FBAE41087P","民生理财贵竹固收增利天天盈87号理财产品P",1.023691,1.023691,2,"1.00%-2.00%","在售"
"FBAE36016P","民生理财贵竹固收增利天天鑫16号理财产品P",1.019422,1.019422,2,"1.30%-2.50%","在售"
"FBAE36016F","民生理财贵竹固收增利天天鑫16号理财产品F",1.019422,1.019422,2,"1.30%-2.50%","在售"
"FBAE36016E","民生理财贵竹固收增利天天鑫16号理财产品E",1.019422,1.019422,2,"1.30%-2.50%","在售"
"FBAF19197F","民生理财天天增利现金管理197号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG41470E","民生理财贵竹固收增利封闭10号理财产品E",1.0181,1.0181,2,"2.80%-3.10%","已结束"
"FBAF19166E","民生理财天天增利现金管理166号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41514M","贵竹季季盈90天14号（高端专享）",1.029201,1.029201,2,"1.50%-2.30%","在售"
"FBAE51211A","民生理财贵竹固收增强多策略半年持有期1号理财产品",1.0159,1.0159,3,"2.20%-3.20%","在售"
"FBAG66002S","民生理财富竹固收稳健精选封闭2号理财产品S",1.0115,1.0115,2,"2.70%-3.10%","已结束"
"FBAG66002Q","民生理财富竹固收稳健精选封闭2号理财产品Q",1.0117,1.0117,2,"2.75%-3.15%","已结束"
"FBAG66002J","民生理财富竹固收稳健精选封闭2号理财产品J",1.0117,1.0117,2,"2.75%-3.15%","已结束"
"FBAG66002C","民生理财富竹固收稳健精选封闭2号理财产品C",1.0115,1.0115,2,"2.70%-3.10%","已结束"
"FBAG66002B","民生理财富竹固收稳健精选封闭2号理财产品B",1.0113,1.0113,2,"2.68%-3.08%","已结束"
"FBAG66002A","民生理财富竹固收稳健精选封闭2号理财产品A",1.0112,1.0112,2,"2.65%-3.05%","已结束"
"FBAG41502A","民生理财贵竹固收增利多策略封闭2号理财产品",1.0147,1.0147,2,"2.75%-3.35%","已结束"
"FBAG41502S","民生理财贵竹固收增利多策略封闭2号理财产品S",1.015,1.015,2,"2.80%-3.40%","已结束"
"FBAG41502J","民生理财贵竹固收增利多策略封闭2号理财产品J",1.0153,1.0153,2,"2.85%-3.45%","已结束"
"FBAE41161P","民生理财贵竹固收增利周周盈7天持有期61号理财产品P",1.015453,1.015453,2,"1.20%-2.20%","在售"
"FBAE41161F","民生理财贵竹固收增利周周盈7天持有期61号理财产品F",1.015453,1.015453,2,"1.20%-2.20%","在售"
"FBAE41228E","民生理财贵竹固收增利双周盈14天持有期28号理财产品E",1.025185,1.025185,2,"1.20%-2.20%","在售"
"FBAE41537F","民生理财贵竹固收增利季季盈90天持有期37号理财产品F",1.016725,1.016725,2,"1.60%-2.30%","在售"
"FBAE41228F","民生理财贵竹固收增利双周盈14天持有期28号理财产品F",1.025112,1.025112,2,"1.20%-2.20%","在售"
"FBAE41228P","民生理财贵竹固收增利双周盈14天持有期28号理财产品P",1.024975,1.024975,2,"1.20%-2.20%","在售"
"FBAE81202P","民生理财贵竹固收增利周周盈7天持有期6号理财产品P",1.049684,1.049684,2,"2.10%-3.00%","在售"
