产品代码,产品名称,净值,累计净值,风险等级,业绩基准,状态
"FBAG98123E","民生理财富竹固收封闭123号理财产品E",1.0061,1.0061,2,"2.30%-2.60%","已结束"
"FBAG98123P","民生理财富竹固收封闭123号理财产品P",1.0056,1.0056,2,"2.15%-2.45%","已结束"
"FBAE37401A","民生理财贵竹固收添益半年持有期1号理财产品",1.0097,1.0097,2,"2.00%-2.80%","在售"
"FBAE37401E","民生理财贵竹固收添益半年持有期1号理财产品E",1.0097,1.0097,2,"2.00%-2.80%","在售"
"FBAG98156E","民生理财富竹固收封闭156号理财产品E",1.0056,1.0056,2,"2.10%-2.40%","已结束"
"FBAE41117F","民生理财贵竹固收增利周周盈7天持有期17号理财产品（个金）",1.0776,1.0776,2,"1.20%-2.20%","在售"
"FBAE41157A","民生理财贵竹固收增利周周盈7天持有期57号理财产品A",1.017795,1.017795,2,"1.20%-2.20%","在售"
"FBAG97163F","民生理财贵竹固收增利盈系列封闭163号理财产品F",1.0066,1.0066,2,"1.90%-2.20%","已结束"
"FBAE91001A","民生理财贵竹固收增利红利日开1号理财产品",1.0119,1.0119,2,"1.80%-2.60%","在售"
"FBAE94001A","民生理财贵竹固收增利多策略日开1号理财产品",1.0117,1.0117,2,"1.80%-2.60%","在售"
"FBAG66009G","民生理财富竹固收稳健精选封闭9号理财产品G",1.0109,1.0109,2,"2.68%-3.08%","已结束"
"FBAE37306A","民生理财贵竹固收添益3个月持有期6号理财产品",1.0083,1.0083,2,"1.80%-2.60%","在售"
"FBAE41538P","民生理财贵竹固收增利季季盈90天持有期38号理财产品P",1.011137,1.011137,2,"1.60%-2.30%","在售"
"FBAE41538E","民生理财贵竹固收增利季季盈90天持有期38号理财产品E",1.011137,1.011137,2,"1.60%-2.30%","在售"
"FBAG62212Q","民生理财富竹固收优选封闭112号理财产品Q",1.0075,1.0075,2,"2.30%-2.60%","已结束"
"FBAG62212S","民生理财富竹固收优选封闭112号理财产品S",1.0073,1.0073,2,"2.25%-2.55%","已结束"
"FBAE48312S","民生理财茂竹固收1个月持有期12号理财产品S",1.0072,1.0072,2,"1.55%-2.25%","在售"
"FBAE48312Q","民生理财茂竹固收1个月持有期12号理财产品Q",1.0071,1.0071,2,"1.60%-2.30%","在售"
"FBAE48312A","民生理财茂竹固收1个月持有期12号理财产品",1.007,1.007,2,"1.50%-2.20%","在售"
"FBAG98158E","民生理财富竹固收封闭158号理财产品E",1.0054,1.0054,2,"1.90%-2.10%","已结束"
"FBAG98158F","民生理财富竹固收封闭158号理财产品F",1.0053,1.0053,2,"1.85%-2.05%","已结束"
"FBAG98157E","民生理财富竹固收封闭157号理财产品E",1.0051,1.0051,2,"1.90%-2.10%","已结束"
"FBAG98108A","民生理财富竹固收封闭108号理财产品（个金）",1.0058,1.0058,2,"1.70%-2.00%","已结束"
"FBAG97163E","民生理财贵竹固收增利盈系列封闭163号理财产品E",1.0071,1.0071,2,"2.05%-2.35%","已结束"
"FBAG97163M","民生理财贵竹固收增利盈系列封闭163号理财产品M",1.007,1.007,2,"2.00%-2.30%","已结束"
"FBAG97163N","民生理财贵竹固收增利盈系列封闭163号理财产品N",1.007,1.007,2,"2.00%-2.30%","已结束"
"FBAG97163R","民生理财贵竹固收增利盈系列封闭163号理财产品R",1.0075,1.0075,2,"2.15%-2.45%","已结束"
"FBAE41166A","民生理财贵竹固收增利周周盈7天持有期66号理财产品（个金）",1.0107,1.0107,2,"1.20%-2.20%","在售"
"FBAE41504E","民生理财贵竹固收增利季季盈90天持有期4号理财产品E",1.050895,1.050895,2,"2.30%-3.00%","在售"
"FBAE41504F","民生理财贵竹固收增利季季盈90天持有期4号理财产品F",1.050158,1.050158,2,"2.30%-3.00%","在售"
"FBAE41504M","民生理财贵竹固收增利季季盈90天持有期4号理财产品M",1.051174,1.051174,2,"2.30%-3.00%","在售"
"FBAE41504H","民生理财贵竹固收增利季季盈90天持有期4号理财产品H",1.050943,1.050943,2,"2.30%-3.00%","在售"
"FBAE41504B","民生理财贵竹固收增利季季盈90天持有期4号理财产品B",1.051296,1.051296,2,"2.30%-3.00%","在售"
"FBAG65138Q","民生理财贵竹添利优选封闭38号理财产品Q",1.0105,1.0105,2,"2.60%-2.90%","已结束"
"FBAE41504P","民生理财贵竹固收增利季季盈90天持有期4号理财产品P",1.050855,1.050855,2,"2.30%-3.00%","在售"
"FBAE42153E","民生理财贵竹固收稳利全球精选半年持有期3号理财产品E",1.0186,1.0186,2,"2.40%-3.20%","在售"
"FBAE42153P","民生理财贵竹固收稳利全球精选半年持有期3号理财产品P",1.0186,1.0186,2,"2.40%-3.20%","在售"
"FBAE42153F","民生理财贵竹固收稳利全球精选半年持有期3号理财产品F",1.0186,1.0186,2,"2.40%-3.20%","在售"
"FBAE42173E","民生理财贵竹固收稳利红利半年持有期3号理财产品E",1.02,1.02,2,"2.40%-3.20%","在售"
"FBAE42173F","民生理财贵竹固收稳利红利半年持有期3号理财产品F",1.02,1.02,2,"2.40%-3.20%","在售"
"FBAE42173P","民生理财贵竹固收稳利红利半年持有期3号理财产品P",1.02,1.02,2,"2.40%-3.20%","在售"
"FBAE41321S","民生理财贵竹固收增利月月盈30天持有期21号理财产品S",1.028218,1.028218,2,"1.50%-2.20%","在售"
"FBAE41321Q","民生理财贵竹固收增利月月盈30天持有期21号理财产品Q",1.02871,1.02871,2,"1.50%-2.20%","在售"
"FBAE67106E","民生理财贵竹固收增利月月发30天持有期6号理财产品E",1.0258,1.0258,2,"1.90%-2.90%","在售"
"FBAE41321B","民生理财贵竹固收增利月月盈30天持有期21号理财产品B",1.02813,1.02813,2,"1.50%-2.20%","在售"
"FBAE37301E","民生理财贵竹固收添益3个月持有期1号理财产品E",1.0102,1.0102,2,"1.80%-2.60%","在售"
"FBAE37301A","民生理财贵竹固收添益3个月持有期1号理财产品A",1.0102,1.0102,2,"1.80%-2.60%","在售"
"FBAF19247A","民生理财天天增利现金管理247号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19247B","民生理财天天增利现金管理247号理财产品B",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19247E","民生理财天天增利现金管理247号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19247G","民生理财天天增利现金管理247号理财产品G",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19247S","民生理财天天增利现金管理247号理财产品S",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19247P","民生理财天天增利现金管理247号理财产品P",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19248E","民生理财天天增利现金管理248号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19248M","民生理财天天增利现金管理248号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19248F","民生理财天天增利现金管理248号理财产品F",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19236E","民生理财天天增利现金管理236号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAG41503A","民生理财贵竹固收增利多策略封闭3号理财产品",1.0128,1.0128,2,"2.65%-3.25%","已结束"
"FBAG41503B","民生理财贵竹固收增利多策略封闭3号理财产品B",1.013,1.013,2,"2.68%-3.28%","已结束"
"FBAG41503S","民生理财贵竹固收增利多策略封闭3号理财产品S",1.0131,1.0131,2,"2.70%-3.30%","已结束"
"FBAG41503J","民生理财贵竹固收增利多策略封闭3号理财产品J",1.0133,1.0133,2,"2.75%-3.35%","已结束"
"FBAF19214A","民生理财天天增利现金管理214号理财产品A",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19214E","民生理财天天增利现金管理214号理财产品E",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE60220P","民生理财富竹纯债14天持有期20号理财产品P",1.0398,1.0398,2,"1.55%-2.25%","在售"
"FBAG65138A","民生理财贵竹添利优选封闭38号理财产品A",1.0105,1.0105,2,"2.60%-2.90%","已结束"
"FBAE41088E","民生理财贵竹固收增利天天盈88号理财产品E",1.019171,1.019171,2,"1.00%-2.00%","在售"
"FBAE41088P","民生理财贵竹固收增利天天盈88号理财产品P",1.019171,1.019171,2,"1.00%-2.00%","在售"
"FBAE41088F","民生理财贵竹固收增利天天盈88号理财产品F",1.019171,1.019171,2,"1.00%-2.00%","在售"
"FBAE36017A","民生理财贵竹固收增利天天鑫17号理财产品A",1.023055,1.023055,2,"1.00%-2.00%","在售"
"FBAE36017E","民生理财贵竹固收增利天天鑫17号理财产品E",1.02305,1.02305,2,"1.00%-2.00%","在售"
"FBAE61012E","民生理财富竹纯债91天持有期9号理财产品E",1.0821,1.0821,2,"1.60%-2.30%","在售"
"FBAE41316H","民生理财贵竹固收增利月月盈30天持有期16号理财产品H",1.034407,1.034407,2,"1.50%-2.20%","在售"
"FBAE41321G","民生理财贵竹固收增利月月盈30天持有期21号理财产品G",1.028537,1.028537,2,"1.50%-2.20%","在售"
"FBAF19228M","民生理财天天增利现金管理228号理财产品M",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE37302A","民生理财贵竹固收添益3个月持有期2号理财产品",1.0183,1.0183,2,"1.80%-2.60%","在售"
"FBAE43525A","民生理财茂竹双债增强3个月持有期5号理财产品",1.0108,1.0108,2,"1.80%-2.60%","在售"
"FBAE37302E","民生理财贵竹固收添益3个月持有期2号理财产品E",1.0183,1.0183,2,"1.80%-2.60%","在售"
"FBAG41476E","民生理财贵竹固收增利封闭16号理财产品E",1.01,1.01,2,"2.80%-3.10%","已结束"
"FBAG19971A","民生理财富竹固收稳健封闭71号理财产品A",1.0098,1.0098,2,"2.15%-2.45%","已结束"
